4bEb3KE4mSKlTFjtWJQBqO,6.1
07GvNcU1WdyZJq3XxP0kZa,8.2
0Au4QRVX0hwIRVv1svcqhD,5.1
4pvY1WQBeAgPGMnWglrWY4,6.3
7iL6o9tox1zgHpKUfh9vuC,7.2
0trHOzAhNpGCsGBEu7dOJo,7.6
2CvOqDpQIMw69cCzWqr5yr,6.9
6mDBmG64QSg09onp4DsGX8,4.3
7MmBhKBQnaa0I8TaDJs9ia,5.4
6ztstiyZL6FXzh4aG46ZPD,7.2
6kYGOFNUMxpab09L5Ukoke,7
5lc9L9FeLBwlJPgEbq9uEw,7.2
7Ks4VCY1wFebnOdJrM13t6,7.5
2fXwCWkh6YG5zU1IyvQrbs,6.8
2fRoKHW3lzNUKIUTade8nL,3.4
7s25THrKz86DM225dOYwnr,7.8
0qRR9d89hIS0MHRkQ0ejxX,7.1
2PTvik6EqPAIYOclAB3SU8,4.2
27L8sESb3KR79asDUBu8nW,5
1jJci4qxiYcOHhQR247rEU,7.7
2IHaGyfxNoFPLJnaEg4GTs,6.3
2WfaOiMkCvy7F5fcp2zZ8L,6.9
2NBQmPrOEEjA8VbeWOQGxO,7.5
2PpruBYCo4H7WOBJ7Q2EwM,8.5
7E5p9vyjnx7C90DU8Jv1PI,6.7
4PFiLGx8jAzcAJxwPLUeZ9,7
5zA8vzDGqPl2AzZkEYQGKh,7
0cp97b37sFNsdIbQH6po3T,6.6
1EXlrwfb7ikamp4vUCJ5Y9,5.4
1Z2FvDFZSDQ23s4BDqpWqZ,8
73YRoPNx5M9uQDAUvOuroY,5.5
40riOy7x9W7GXjyGp4pjAv,6.8
4rHZZAmHpZrA3iH5zx8frV,5.7
62AuGbAkt8Ox2IrFFb8GKV,6.5
0vAa2PtCk9BmWib4oW9Cav,4.8
2DpJ9T2RVRanZcYFHKOAfA,6.1
4mn2kNTqiGLwaUR8JdhJ1l,5
3926rqN77GvyiqBwj41wGg,0.7
5K1HsMKNWMrxADlqAUjpIp,6.2
4fXGWiVhlOLdhwRDP6pIFG,3.8
6vegnfDS8DAEaCqWaPYGPy,6.6
0725YWm6Z0TpZ6wrNk64Eb,6.8
28cnXtME493VX9NOw9cIUh,7.2
3aQz0z86zrKjd1mcZlonxE,5.5
39ctmPVTtAMKeVJhMq5dS5,4.6
0zO8ctW0UiuOefR87OeJOZ,6.6
44wXefe8WB9Fd6xwtmAwbR,7.1
4wH4dJgrsxONID6KS2tDQM,5.5
25FTMokYEbEWHEdss5JLZS,5.1
08QP0rwnQSbbpGRIuXfrAY,5.6
6uUsQRhj6RFAMKb1g7U1iZ,6
0Pe5ci8oLOiNWNkjux3fV3,6.2
4LwOrnuxJwR7C5Sw4liY4Z,6
6HCjE39NPrRs2gErcMtY1M,7.4
6tS3XVuOyu10897O3ae7bi,7.1
